ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
AGUASCALIENTES,42.93448791904,38.95816844109583,17.01740004470388,17.085431193193745,57.68021816847724,269.4522900260219,391.98295286190586,338.9053828063056,278.7798020301022,116.13326881412884,31.717841049451,27.252812161969004
BAJA CALIFORNIA,93.86652140052047,114.4993886141204,75.16636918558147,30.99201512334854,9.219434325150408,4.098296350201176,13.205192448113111,29.995387986983825,40.14206033067825,42.876258402665464,44.51787111832792,84.82798584627882
BAJA CALIFORNIA SUR,30.788541973238182,18.57976950103531,10.560182899016189,3.9475508898858465,1.2429244501739796,8.651635682616886,53.12020160352902,151.17519710418335,222.8481596965704,51.46805132026562,32.07215079634931,29.700165373948362
CAMPECHE,136.5126533676826,93.05996139357946,67.96748823371503,95.25250724688807,286.38583907256617,686.7210566961503,551.1567517185734,667.951614027257,721.0090229964052,518.9773288069963,241.19237046680053,143.77335308236306
COAHUILA,39.87882344969206,35.064210774716265,50.22758186195768,64.22341595684331,137.17302831966128,150.2441532492534,162.40389338474216,166.2490255230855,225.22992768912798,110.64288294728703,53.585967457097944,36.22109877195641
COLIMA,63.130383993351415,54.852310087502055,31.435920845197305,1.6615764222123122,25.4491643781281,483.4277035111975,648.5161788961124,827.1454587054204,875.1280318256782,444.108314196056,101.80299412548287,33.8413427771876
CHIAPAS,172.45195872383215,127.00349814343595,121.15157952290889,171.2530874249378,498.4953540814326,934.5515957021515,758.606912045349,983.1881771892821,1103.573825684333,741.8854145613692,316.950041630416,196.9590905333848
CHIHUAHUA,46.712603811569956,37.77935577713958,23.974971066233124,21.837042961647835,31.196707173965837,127.02717556759815,376.48416872185453,343.2443202786192,227.176673883424,82.54225597970823,50.279241453674,57.84685842586493
CIUDAD DE MÉXICO,22.016776107053502,20.450682005412773,33.16716842018341,76.64150921082768,161.70384032507312,400.34030529476075,483.5830054829999,466.85547851240335,402.1783552377104,186.63162960101786,46.36578425743799,16.90447213121399
DURANGO,39.65228853517318,23.929190422725267,17.21596400495181,12.210952264090805,28.845215242275263,162.22985887266762,361.6194178824987,341.4685794327158,305.3178977065502,97.87585014045294,44.411201792790195,37.54953304991347
GUANAJUATO,36.22037754222758,35.66302718159796,33.57479522547933,31.518962010539116,112.25720286348296,366.1023002270117,508.4084337239556,495.8847635589894,367.6750243177824,123.17279779151308,35.30568330625636,21.70481454288336
GUERRERO,21.435437128565663,16.283184826750052,15.422603876400245,17.716148639727646,145.45917050865083,624.3658125754575,625.8145679929265,723.1381617280712,771.151918652181,353.4628475798779,57.9254704751722,15.020680046506188
HIDALGO,52.40462768147561,53.149726050704736,63.46508844595911,101.9465474449819,153.534675721281,330.4122424854207,334.0642480646795,329.54012845196917,423.9104146076514,244.5245695600347,94.58527126374314,37.81394132083674
JALISCO,50.28544829994519,39.191721527475885,25.049664846894228,9.541454004275556,60.816640185895686,440.1733560249824,641.804252031984,605.4029754543247,490.74295894763503,202.03168228411138,48.5270080726616,33.15331117736358
ESTADO DE MÉXICO,22.34767281672735,27.9982259848574,33.47821355770416,61.741937114555526,163.77416798723024,421.71620025963676,493.4272281386629,486.8094124058961,447.79561169604875,189.27750417343648,52.83126918705579,13.286990163562846
MICHOACÁN,31.817142122946176,33.58910716494761,27.828985167249,20.68203865880832,93.38198179341096,439.4691331212509,563.0797431202625,562.8721539531484,478.4412098357766,208.4416466128847,49.63392245671912,22.002779429381913
MORELOS,21.60740494799307,16.525179366622545,24.314430650496686,42.51885614673318,219.4399502160367,734.8182276097756,638.4477561057132,746.2922059663307,753.3432718015821,294.29358910707737,54.364445629562795,14.569283053255306
NAYARIT,54.860170689466685,51.29142334213421,16.181903850467194,3.644103177032214,12.811882958742657,414.92021741843377,934.3918529658863,1061.1485693051395,835.7578768124143,266.71948741408966,57.5816594805785,54.13102155058393
NUEVO LEÓN,60.98985435502184,52.449736519674815,70.09886911051566,117.88572076684453,190.15206497319357,225.78336557254104,234.53293290595113,223.82480681162235,481.12664887959136,192.16333911456582,81.89216610513432,54.02080190780385
OAXACA,63.58288606788616,44.85919539788574,52.83846365185514,82.96328375272942,249.8327165493365,776.3838625551117,754.1304961658788,824.5053327290408,835.1310306154904,452.51888167557627,159.13691904056427,72.19415534570867
PUEBLA,79.77627572782156,76.49625357044947,88.3661375826888,143.10018920999275,256.49253488502467,656.6923304546808,655.094653142166,753.4849757632081,813.472075574919,480.26171960430065,191.36555031383102,83.06768837897904
QUERÉTARO,31.184601139975584,32.62493353017689,37.96578831348224,60.96523610490081,118.57273599908973,317.9963189254391,374.7613800505328,326.21842709939284,321.22019392580495,131.41235532288377,46.68441750578828,19.892449392990198
QUINTANA ROO,219.95226005985705,129.85091666771655,118.09224448773485,144.25266352315515,347.58063357939005,627.6743307157637,373.5557743934308,472.5725757289039,608.3031750696949,629.7002311817033,372.1889830899818,220.54478187317383
SAN LUIS POTOSÍ,54.725559082444114,53.481710475989416,55.62176770310854,106.27460044144833,175.9009683522545,376.3472630937542,462.2412915920556,395.1681901421157,540.2421765560003,256.1981462352113,96.43754069554576,53.80294119907514
SINALOA,57.095890611020344,44.68243698417347,14.115513589459475,7.460855931269392,6.820323255303799,130.5627046498995,549.0741056228233,673.5273314721754,501.89724413249996,147.18782422783752,87.93033674332618,66.43578966404976
SONORA,61.82349029056815,51.90899122667408,32.555150698142825,11.890954577439025,9.333779433751035,60.82222258589755,351.38219735191495,349.0949994962243,242.94576938455202,67.69177640511187,54.278585018984266,76.49322135662243
TABASCO,513.8621411395713,317.9093344872475,205.22314461954613,196.13496121078245,370.61530347946535,791.6056463227725,586.365927589085,860.1030449464156,1118.97147326646,1052.9672293968888,684.5553126985243,480.79896127955607
TAMAULIPAS,68.74306704161447,57.89394508715328,81.74830620361898,124.36326247706894,209.5936745624264,357.86589260052415,334.8582152685262,283.85923631450055,512.0837131400848,261.97033720140337,107.149913757813,74.28365678747183
TLAXCALA,25.409916367287355,21.768477891264638,44.112670782608035,109.59719727704037,230.7093997863944,412.78656966496783,383.5475951249991,413.69733738455835,391.33600503204684,186.18040646273593,53.70582679218467,22.502958603829015
VERACRUZ,160.66899161659956,107.49284121902713,108.04573104684552,134.9436589673435,242.73514307199798,672.6898882838749,695.9375379770833,725.9705465725693,903.2871967220399,644.4236802674393,347.38686244038445,183.76713775345502
YUCATÁN,130.86537418496738,84.76861645672659,82.4362638508898,113.39909278787098,241.26894846228208,540.0501197276936,424.14227508417434,476.1291779041356,564.8516721268387,384.55859291031044,180.95898585560622,132.28315854576252
ZACATECAS,43.04119095331936,37.49911770917298,19.209251350124948,15.702839100573271,53.97529594450675,252.2526866410902,380.52226535163715,332.5138113403134,290.90251009863715,102.97681498227739,38.47549798701923,36.869582700487655
NACIONAL,72.89166666666668,56.66,49.13583333333333,57.595,128.08500000000004,334.66416666666663,431.84416666666675,452.67833333333334,461.69083333333316,241.93083333333334,106.85666666666668,74.65166666666666
